area,report,date
Changamwe,We haven't had water for 13 days. All tanks are empty.,2025-07-07
Kisauni,The water tastes metallic and looks unsafe.,2025-03-09
Kisauni,There is sewage mixing with the tap water in this area.,2025-09-03
Bamburi,The water tastes metallic and looks unsafe.,2025-04-16
Likoni,I only get water for an hour every morning. The pressure is too low.,2025-05-07
Kisauni,"There's a massive burst pipe on the main road, water is everywhere.",2025-01-04
Shanzu,The water coming from the tap is brown and smells strange.,2025-05-14
Tudor,Water bills are being charged despite no supply for 8 days.,2025-06-09
Nyali,The water coming from the tap is brown and smells strange.,2025-04-10
Port Reitz,Water bills are being charged despite no supply for 6 days.,2025-06-18
Mikindani,Water bills are being charged despite no supply for 12 days.,2025-04-28
Mtwapa,I only get water for an hour every morning. The pressure is too low.,2025-03-06
Port Reitz,"There's a massive burst pipe on the main road, water is everywhere.",2025-06-07
Tudor,Water bills are being charged despite no supply for 10 days.,2025-06-21
Mtwapa,We haven't had water for 7 days. All tanks are empty.,2025-06-29
Changamwe,I only get water for an hour every morning. The pressure is too low.,2025-06-27
Port Reitz,The water coming from the tap is brown and smells strange.,2025-07-18
Mikindani,The water is muddy and leaves stains on clothes.,2025-01-31
Nyali,Water bills are being charged despite no supply for 6 days.,2025-03-27
Bamburi,Water bills are being charged despite no supply for 9 days.,2025-08-23
Mikindani,The water is muddy and leaves stains on clothes.,2025-02-26
Likoni,The water is muddy and leaves stains on clothes.,2025-01-05
Changamwe,The water tastes metallic and looks unsafe.,2025-04-22
Mikindani,I only get water for an hour every morning. The pressure is too low.,2025-02-03
Bamburi,I only get water for an hour every morning. The pressure is too low.,2025-06-30
Nyali,We haven't had water for 10 days. All tanks are empty.,2025-03-24
Likoni,We haven't had water for 4 days. All tanks are empty.,2025-06-29
Tudor,I only get water for an hour every morning. The pressure is too low.,2025-09-01
Likoni,"There's a massive burst pipe on the main road, water is everywhere.",2025-07-14
Tudor,The water is muddy and leaves stains on clothes.,2025-07-22
Kisauni,The water tastes metallic and looks unsafe.,2025-06-30
Shanzu,There is sewage mixing with the tap water in this area.,2025-01-29
Mtwapa,We haven't had water for 9 days. All tanks are empty.,2025-06-13
Nyali,The water coming from the tap is brown and smells strange.,2025-08-17
Shanzu,We haven't had water for 8 days. All tanks are empty.,2025-06-01
Changamwe,"There's a massive burst pipe on the main road, water is everywhere.",2025-08-24
Mtwapa,We haven't had water for 4 days. All tanks are empty.,2025-04-30
Mtwapa,"The supply is irregular, we only get water on certain days.",2025-05-21
Mikindani,I only get water for an hour every morning. The pressure is too low.,2025-01-14
Likoni,No water at all for over 9 days in most households.,2025-07-29
Nyali,We haven't had water for 5 days. All tanks are empty.,2025-08-24
Likoni,The water coming from the tap is brown and smells strange.,2025-05-22
Port Reitz,The water is muddy and leaves stains on clothes.,2025-02-07
Changamwe,We haven't had water for 5 days. All tanks are empty.,2025-04-12
Kisauni,No water at all for over 10 days in most households.,2025-08-30
Port Reitz,There is sewage mixing with the tap water in this area.,2025-06-21
Bamburi,"There's a massive burst pipe on the main road, water is everywhere.",2025-02-21
Likoni,There is sewage mixing with the tap water in this area.,2025-01-21
Mikindani,The water coming from the tap is brown and smells strange.,2025-06-24
Changamwe,Water bills are being charged despite no supply for 8 days.,2025-05-28
Changamwe,The water coming from the tap is brown and smells strange.,2025-09-03
Changamwe,"The supply is irregular, we only get water on certain days.",2025-02-17
Mtwapa,"There's a massive burst pipe on the main road, water is everywhere.",2025-02-06
Likoni,Water bills are being charged despite no supply for 3 days.,2025-08-19
Kisauni,Water bills are being charged despite no supply for 4 days.,2025-06-14
Likoni,Water bills are being charged despite no supply for 5 days.,2025-02-18
Likoni,We haven't had water for 6 days. All tanks are empty.,2025-05-06
Mtwapa,"The supply is irregular, we only get water on certain days.",2025-09-01
Shanzu,No water at all for over 14 days in most households.,2025-09-03
Port Reitz,There is sewage mixing with the tap water in this area.,2025-05-22
Likoni,The water is muddy and leaves stains on clothes.,2025-07-01
